2003-1-1,200301,2003,1,1,3,1,1,1,1
2003-1-2,200301,2003,1,2,4,1,1,1,1
2003-1-3,200301,2003,1,3,5,1,1,1,1
2003-1-4,200301,2003,1,4,6,1,1,1,1
2003-1-5,200301,2003,1,5,7,1,1,1,1
2003-1-6,200301,2003,1,6,1,2,1,1,1
2003-1-7,200301,2003,1,7,2,2,1,1,1
2003-1-8,200301,2003,1,8,3,2,1,1,1
2003-1-9,200301,2003,1,9,4,2,1,1,1
2003-1-10,200301,2003,1,10,5,2,1,1,1
2003-1-11,200301,2003,1,11,6,2,1,2,1
2003-1-12,200301,2003,1,12,7,2,1,2,1
2003-1-13,200301,2003,1,13,1,3,1,2,1
2003-1-14,200301,2003,1,14,2,3,1,2,1
2003-1-15,200301,2003,1,15,3,3,1,2,1
2003-1-16,200301,2003,1,16,4,3,1,2,2
2003-1-17,200301,2003,1,17,5,3,1,2,2
2003-1-18,200301,2003,1,18,6,3,1,2,2
2003-1-19,200301,2003,1,19,7,3,1,2,2
2003-1-20,200301,2003,1,20,1,4,1,2,2
